suburb,med_price
WENDOUREE WEST,363500
WERRIBEE,600000
WERRIBEE SOUTH,965000
WEST FOOTSCRAY,947500
WEST MELBOURNE,1365000
WEST WODONGA,522500
WESTALL,862500
WESTGARTH,1785000
WESTMEADOWS,665000
WHEELERS HILL,1426500
WHITE HILLS,503800
WHITTINGTON,510000
WHITTLESEA,705000
WILLIAMS LANDING,785000
WILLIAMSTOWN,1790000
WILLIAMSTOWN NORTH,1197500
WIMBLEDON HEIGHTS,710000
WINCHELSEA,625000
WINDSOR,1465000
WINTER VALLEY,640000
WODONGA,514000
WOLLERT,727000
WONGA PARK,1640000
WONTHAGGI,555000
WOODEND,860000
WOOLAMAI WATERS,800000
WOORI YALLOCK,610000
WY YUNG,459500
WYCHEPROOF,202500
WYNDHAM VALE,570000
YACKANDANDAH,636000
YALLAMBIE,888800
YALLOURN NORTH,355000
YARRA GLEN,760000
YARRA JUNCTION,647500
YARRAGON,550000
YARRAM,414300
YARRAVILLE,1035500
YARRAWONGA,610000
YEA,670000
YINNAR,510000
"^ means there were fewer than 10 sales for the quarter* means there were no sales for the quarter and the first non-zero figure is carried forwardNA means insufficent data was available to create the percentage change ",
